season,team_abbrv,coach_name,games_coached,games_W,games_L,playoff_games,playoff_games_W,playoff_games_L,team_coach_number,seasons_with_team,new_coach
2011,DEN,George Karl,82,50,32,5,1,4,1,7,0
2011,DET,John Kuester,82,30,52,0,0,0,1,2,0
2011,GSW,Keith Smart,82,36,46,0,0,0,1,1,1
2011,HOU,Rick Adelman,82,43,39,0,0,0,1,4,0
2011,IND,Jim O'Brien,44,17,27,0,0,0,1,4,0
2011,IND,Frank Vogel,38,20,18,5,1,4,2,1,1
2011,LAC,Vinny Del Negro,82,32,50,0,0,0,1,1,1
2011,LAL,Phil Jackson,82,57,25,10,4,6,1,11,0
2011,MEM,Lionel Hollins,82,46,36,13,7,6,1,5,0
2011,MIA,Erik Spoelstra,82,58,24,21,14,7,1,3,0
2011,MIL,Scott Skiles,82,35,47,0,0,0,1,3,0
2011,MIN,Kurt Rambis,82,17,65,0,0,0,1,2,0
2011,NJN,Avery Johnson,82,24,58,0,0,0,1,1,1
2011,NOH,Monty Williams,82,46,36,6,2,4,1,1,1
2011,NYK,Mike D'Antoni,82,42,40,4,0,4,1,3,0
2011,OKC,Scott Brooks,82,55,27,17,9,8,1,3,0
2011,ORL,Stan Van Gundy,82,52,30,6,2,4,1,4,0
2011,PHI,Doug Collins,82,41,41,5,1,4,1,1,1
2011,PHO,Alvin Gentry,82,40,42,0,0,0,1,3,0
2011,POR,Nate McMillan,82,48,34,6,2,4,1,6,0
2011,SAC,Paul Westphal,82,24,58,0,0,0,1,2,0
2011,SAS,Gregg Popovich,82,61,21,6,2,4,1,15,0
2011,TOR,Jay Triano,82,22,60,0,0,0,1,3,0
2011,UTA,Jerry Sloan,54,31,23,0,0,0,1,23,0
2011,UTA,Tyrone Corbin,28,8,20,0,0,0,2,1,1
2011,WAS,Flip Saunders,82,23,59,0,0,0,1,2,0
2012,ATL,Larry Drew,66,40,26,6,2,4,1,2,0
2012,BOS,Doc Rivers,66,39,27,20,11,9,1,8,0
2012,CHA,Paul Silas,66,7,59,0,0,0,1,6,0
2012,CHI,Tom Thibodeau,66,50,16,6,2,4,1,2,0
2012,CLE,Byron Scott,66,21,45,0,0,0,1,2,0
2012,DAL,Rick Carlisle,66,36,30,4,0,4,1,4,0
2012,DEN,George Karl,66,38,28,7,3,4,1,8,0
2012,DET,Lawrence Frank,66,25,41,0,0,0,1,1,1
2012,GSW,Mark Jackson,66,23,43,0,0,0,1,1,1
2012,HOU,Kevin McHale,66,34,32,0,0,0,1,1,1
2012,IND,Frank Vogel,66,42,24,11,6,5,1,2,0
2012,LAC,Vinny Del Negro,66,40,26,11,4,7,1,2,0
2012,LAL,Mike Brown,66,41,25,12,5,7,1,1,1
2012,MEM,Lionel Hollins,66,41,25,7,3,4,1,6,0
2012,MIA,Erik Spoelstra,66,46,20,23,16,7,1,4,0
2012,MIL,Scott Skiles,66,31,35,0,0,0,1,4,0
2012,MIN,Rick Adelman,66,26,40,0,0,0,1,1,1
2012,NJN,Avery Johnson,66,22,44,0,0,0,1,2,0
2012,NOH,Monty Williams,66,21,45,0,0,0,1,2,0
2012,NYK,Mike D'Antoni,42,18,24,0,0,0,1,4,0
2012,NYK,Mike Woodson,24,18,6,5,1,4,2,1,1
2012,OKC,Scott Brooks,66,47,19,20,13,7,1,4,0
2012,ORL,Stan Van Gundy,66,37,29,5,1,4,1,5,0
2012,PHI,Doug Collins,66,35,31,13,7,6,1,2,0
2012,PHO,Alvin Gentry,66,33,33,0,0,0,1,4,0
2012,POR,Nate McMillan,43,20,23,0,0,0,1,7,0
2012,POR,Kaleb Canales,23,8,15,0,0,0,2,1,1
2012,SAC,Paul Westphal,7,2,5,0,0,0,1,3,0
2012,SAC,Keith Smart,59,20,39,0,0,0,2,1,1
2012,SAS,Gregg Popovich,66,50,16,14,10,4,1,16,0
2012,TOR,Dwane Casey,66,23,43,0,0,0,1,1,1
2012,UTA,Tyrone Corbin,66,36,30,4,0,4,1,2,0
2012,WAS,Flip Saunders,17,2,15,0,0,0,1,3,0
2012,WAS,Randy Wittman,49,18,31,0,0,0,2,1,1
2013,ATL,Larry Drew,82,44,38,6,2,4,1,3,0
2013,BOS,Doc Rivers,81,41,40,6,2,4,1,9,0
2013,BRK,Avery Johnson,28,14,14,0,0,0,1,3,0
2013,BRK,P.J. Carlesimo,54,35,19,7,3,4,2,1,1
2013,CHA,Mike Dunlap,82,21,61,0,0,0,1,1,1
2013,CHI,Tom Thibodeau,82,45,37,12,5,7,1,3,0
2013,CLE,Byron Scott,82,24,58,0,0,0,1,3,0
2013,DAL,Rick Carlisle,82,41,41,0,0,0,1,5,0
2013,DEN,George Karl,82,57,25,6,2,4,1,9,0
2013,DET,Lawrence Frank,82,29,53,0,0,0,1,2,0
2013,GSW,Mark Jackson,82,47,35,12,6,6,1,2,0
2013,HOU,Kevin McHale,82,45,37,6,2,4,1,2,0
2013,IND,Frank Vogel,81,49,32,19,11,8,1,3,0
2013,LAC,Vinny Del Negro,82,56,26,6,2,4,1,3,0
2013,LAL,Mike Brown,5,1,4,0,0,0,1,2,0
2013,LAL,Bernie Bickerstaff,5,4,1,0,0,0,2,1,1
2013,LAL,Mike D'Antoni,72,40,32,4,0,4,3,1,1
2013,MEM,Lionel Hollins,82,56,26,15,8,7,1,7,0
2013,MIA,Erik Spoelstra,82,66,16,23,16,7,1,5,0
2013,MIL,Scott Skiles,32,16,16,0,0,0,1,5,0
2013,MIL,Jim Boylan,50,22,28,4,0,4,2,1,1
2013,MIN,Rick Adelman,82,31,51,0,0,0,1,2,0
2013,NOH,Monty Williams,82,27,55,0,0,0,1,3,0
2013,NYK,Mike Woodson,82,54,28,12,6,6,1,2,0
2013,OKC,Scott Brooks,82,60,22,11,5,6,1,5,0
2013,ORL,Jacque Vaughn,82,20,62,0,0,0,1,1,1
2013,PHI,Doug Collins,82,34,48,0,0,0,1,3,0
2013,PHO,Alvin Gentry,41,13,28,0,0,0,1,5,0
2013,PHO,Lindsey Hunter,41,12,29,0,0,0,2,1,1
2013,POR,Terry Stotts,82,33,49,0,0,0,1,1,1
2013,SAC,Keith Smart,82,28,54,0,0,0,1,2,0
2013,SAS,Gregg Popovich,82,58,24,21,15,6,1,17,0
2013,TOR,Dwane Casey,82,34,48,0,0,0,1,2,0
2013,UTA,Tyrone Corbin,82,43,39,0,0,0,1,3,0
2013,WAS,Randy Wittman,82,29,53,0,0,0,1,2,0
2014,ATL,Mike Budenholzer,82,38,44,7,3,4,1,1,1
2014,BOS,Brad Stevens,82,25,57,0,0,0,1,1,1
2014,BRK,Jason Kidd,82,44,38,12,5,7,1,1,1
2014,CHA,Steve Clifford,82,43,39,4,0,4,1,1,1
2014,CHI,Tom Thibodeau,82,48,34,5,1,4,1,4,0
2014,CLE,Mike Brown,82,33,49,0,0,0,1,6,0
2014,DAL,Rick Carlisle,82,49,33,7,3,4,1,6,0
2014,DEN,Brian Shaw,82,36,46,0,0,0,1,1,1
2014,DET,Maurice Cheeks,50,21,29,0,0,0,1,1,1
2014,DET,John Loyer,32,8,24,0,0,0,2,1,1
2014,GSW,Mark Jackson,82,51,31,7,3,4,1,3,0
2014,HOU,Kevin McHale,82,54,28,6,2,4,1,3,0
2014,IND,Frank Vogel,82,56,26,19,10,9,1,4,0
2014,LAC,Doc Rivers,82,57,25,13,6,7,1,1,1
2014,LAL,Mike D'Antoni,82,27,55,0,0,0,1,2,0
2014,MEM,Dave Joerger,82,50,32,7,3,4,1,1,1
2014,MIA,Erik Spoelstra,82,54,28,20,13,7,1,6,0
2014,MIL,Larry Drew,82,15,67,0,0,0,1,1,1
2014,MIN,Rick Adelman,82,40,42,0,0,0,1,3,0
2014,NOP,Monty Williams,82,34,48,0,0,0,1,4,0
2014,NYK,Mike Woodson,82,37,45,0,0,0,1,3,0
2014,OKC,Scott Brooks,82,59,23,19,10,9,1,6,0
2014,ORL,Jacque Vaughn,82,23,59,0,0,0,1,2,0
2014,PHI,Brett Brown,82,19,63,0,0,0,1,1,1
2014,PHO,Jeff Hornacek,82,48,34,0,0,0,1,1,1
2014,POR,Terry Stotts,82,54,28,11,5,6,1,2,0
2014,SAC,Mike Malone,82,28,54,0,0,0,1,1,1
2014,SAS,Gregg Popovich,82,62,20,23,16,7,1,18,0
2014,TOR,Dwane Casey,82,48,34,7,3,4,1,3,0
2014,UTA,Tyrone Corbin,82,25,57,0,0,0,1,4,0
2014,WAS,Randy Wittman,82,44,38,11,6,5,1,3,0
2015,ATL,Mike Budenholzer,82,60,22,16,8,8,1,2,0
2015,BOS,Brad Stevens,82,40,42,4,0,4,1,2,0
2015,BRK,Lionel Hollins,82,38,44,6,2,4,1,1,1
2015,CHI,Tom Thibodeau,82,50,32,12,6,6,1,5,0
2015,CHO,Steve Clifford,82,33,49,0,0,0,1,2,0
2015,CLE,David Blatt,82,53,29,20,14,6,1,1,1
2015,DAL,Rick Carlisle,82,50,32,5,1,4,1,7,0
2015,DEN,Brian Shaw,59,20,39,0,0,0,1,2,0
2015,DEN,Melvin Hunt,23,10,13,0,0,0,2,1,1
2015,DET,Stan Van Gundy,82,32,50,0,0,0,1,1,1
2015,GSW,Steve Kerr,82,67,15,21,16,5,1,1,1
2015,HOU,Kevin McHale,82,56,26,17,9,8,1,4,0
2015,IND,Frank Vogel,82,38,44,0,0,0,1,5,0
2015,LAC,Doc Rivers,82,56,26,14,7,7,1,2,0
2015,LAL,Byron Scott,82,21,61,0,0,0,1,1,1
2015,MEM,Dave Joerger,82,55,27,11,6,5,1,2,0
2015,MIA,Erik Spoelstra,82,37,45,0,0,0,1,7,0
2015,MIL,Jason Kidd,82,41,41,6,2,4,1,1,1
2015,MIN,Flip Saunders,82,16,66,0,0,0,1,11,0
2015,NOP,Monty Williams,82,45,37,4,0,4,1,5,0
2015,NYK,Derek Fisher,82,17,65,0,0,0,1,1,1
2015,OKC,Scott Brooks,82,45,37,0,0,0,1,7,0
2015,ORL,Jacque Vaughn,52,15,37,0,0,0,1,3,0
2015,ORL,James Borrego,30,10,20,0,0,0,2,1,1
2015,PHI,Brett Brown,82,18,64,0,0,0,1,2,0
2015,PHO,Jeff Hornacek,82,39,43,0,0,0,1,2,0
2015,POR,Terry Stotts,82,51,31,5,1,4,1,3,0
2015,SAC,Mike Malone,24,11,13,0,0,0,1,2,0
2015,SAC,Tyrone Corbin,28,7,21,0,0,0,2,1,1
2015,SAC,George Karl,30,11,19,0,0,0,3,1,1
2015,SAS,Gregg Popovich,82,55,27,7,3,4,1,19,0
2015,TOR,Dwane Casey,82,49,33,4,0,4,1,4,0
2015,UTA,Quin Snyder,82,38,44,0,0,0,1,1,1
2015,WAS,Randy Wittman,82,46,36,10,6,4,1,4,0
2016,ATL,Mike Budenholzer,82,48,34,10,4,6,1,3,0
2016,BOS,Brad Stevens,82,48,34,6,2,4,1,3,0
2016,BRK,Lionel Hollins,37,10,27,0,0,0,1,2,0
2016,BRK,Tony Brown,45,11,34,0,0,0,2,1,1
2016,CHI,Fred Hoiberg,82,42,40,0,0,0,1,1,1
2016,CHO,Steve Clifford,82,48,34,7,3,4,1,3,0
2016,CLE,David Blatt,41,30,11,0,0,0,1,2,0
2016,CLE,Tyronn Lue,41,27,14,21,16,5,2,1,1
2016,DAL,Rick Carlisle,82,42,40,5,1,4,1,8,0
2016,DEN,Mike Malone,82,33,49,0,0,0,1,1,1
2016,DET,Stan Van Gundy,82,44,38,4,0,4,1,2,0
2016,GSW,Steve Kerr,82,73,9,24,15,9,1,2,0
2016,HOU,Kevin McHale,11,4,7,0,0,0,1,5,0
2016,HOU,J.B. Bickerstaff,71,37,34,5,1,4,2,1,1
2016,IND,Frank Vogel,82,45,37,7,3,4,1,6,0
2016,LAC,Doc Rivers,82,53,29,6,2,4,1,3,0
2016,LAL,Byron Scott,82,17,65,0,0,0,1,2,0
2016,MEM,Dave Joerger,82,42,40,4,0,4,1,3,0
2016,MIA,Erik Spoelstra,82,48,34,14,7,7,1,8,0
2016,MIL,Jason Kidd,82,33,49,0,0,0,1,2,0
2016,MIN,Sam Mitchell,82,29,53,0,0,0,1,1,1
2016,NOP,Alvin Gentry,82,30,52,0,0,0,1,1,1
2016,NYK,Derek Fisher,54,23,31,0,0,0,1,2,0
2016,NYK,Kurt Rambis,28,9,19,0,0,0,2,1,1
2016,OKC,Billy Donovan,82,55,27,18,11,7,1,1,1
2016,ORL,Scott Skiles,82,35,47,0,0,0,1,1,1
2016,PHI,Brett Brown,82,10,72,0,0,0,1,3,0
2016,PHO,Jeff Hornacek,49,14,35,0,0,0,1,3,0
2016,PHO,Earl Watson,33,9,24,0,0,0,2,1,1
2016,POR,Terry Stotts,82,44,38,11,5,6,1,4,0
2016,SAC,George Karl,82,33,49,0,0,0,1,2,0
2016,SAS,Gregg Popovich,82,67,15,10,6,4,1,20,0
2016,TOR,Dwane Casey,82,56,26,20,10,10,1,5,0
2016,UTA,Quin Snyder,82,40,42,0,0,0,1,2,0
2016,WAS,Randy Wittman,82,41,41,0,0,0,1,5,0
2017,ATL,Mike Budenholzer,82,43,39,6,2,4,1,4,0
2017,BOS,Brad Stevens,82,53,29,18,9,9,1,4,0
2017,BRK,Kenny Atkinson,82,20,62,0,0,0,1,1,1
2017,CHI,Fred Hoiberg,82,41,41,6,2,4,1,2,0
2017,CHO,Steve Clifford,82,36,46,0,0,0,1,4,0
2017,CLE,Tyronn Lue,82,51,31,18,13,5,1,2,0
2017,DAL,Rick Carlisle,82,33,49,0,0,0,1,9,0
2017,DEN,Mike Malone,82,40,42,0,0,0,1,2,0
2017,DET,Stan Van Gundy,82,37,45,0,0,0,1,3,0
2017,GSW,Steve Kerr,82,67,15,17,16,1,1,3,0
2017,HOU,Mike D'Antoni,82,55,27,11,6,5,1,1,1
2017,IND,Nate McMillan,82,42,40,4,0,4,1,1,1
2017,LAC,Doc Rivers,82,51,31,7,3,4,1,4,0
2017,LAL,Luke Walton,82,26,56,0,0,0,1,1,1
2017,MEM,David Fizdale,82,43,39,6,2,4,1,1,1
2017,MIA,Erik Spoelstra,82,41,41,0,0,0,1,9,0
2017,MIL,Jason Kidd,82,42,40,6,2,4,1,3,0
2017,MIN,Tom Thibodeau,82,31,51,0,0,0,1,1,1
2017,NOP,Alvin Gentry,82,34,48,0,0,0,1,2,0
2017,NYK,Jeff Hornacek,82,31,51,0,0,0,1,1,1
2017,OKC,Billy Donovan,82,47,35,5,1,4,1,2,0
2017,ORL,Frank Vogel,82,29,53,0,0,0,1,1,1
2017,PHI,Brett Brown,82,28,54,0,0,0,1,4,0
2017,PHO,Earl Watson,82,24,58,0,0,0,1,2,0
2017,POR,Terry Stotts,82,41,41,4,0,4,1,5,0
2017,SAC,Dave Joerger,82,32,50,0,0,0,1,1,1
2017,SAS,Gregg Popovich,82,61,21,16,8,8,1,21,0
2017,TOR,Dwane Casey,82,51,31,10,4,6,1,6,0
2017,UTA,Quin Snyder,82,51,31,11,4,7,1,3,0
2017,WAS,Scott Brooks,82,49,33,13,7,6,1,1,1
2018,ATL,Mike Budenholzer,82,24,58,0,0,0,1,5,0
2018,BOS,Brad Stevens,82,55,27,19,11,8,1,5,0
2018,BRK,Kenny Atkinson,82,28,54,0,0,0,1,2,0
2018,CHI,Fred Hoiberg,82,27,55,0,0,0,1,3,0
2018,CHO,Steve Clifford,82,36,46,0,0,0,1,5,0
2018,CLE,Tyronn Lue,82,50,32,22,12,10,1,3,0
2018,DAL,Rick Carlisle,82,24,58,0,0,0,1,10,0
2018,DEN,Mike Malone,82,46,36,0,0,0,1,3,0
2018,DET,Stan Van Gundy,82,39,43,0,0,0,1,4,0
2018,GSW,Steve Kerr,82,58,24,21,16,5,1,4,0
2018,HOU,Mike D'Antoni,82,65,17,17,11,6,1,2,0
2018,IND,Nate McMillan,82,48,34,7,3,4,1,2,0
2018,LAC,Doc Rivers,82,42,40,0,0,0,1,5,0
2018,LAL,Luke Walton,82,35,47,0,0,0,1,2,0
2018,MEM,David Fizdale,19,7,12,0,0,0,1,2,0
2018,MEM,J.B. Bickerstaff,63,15,48,0,0,0,2,1,1
2018,MIA,Erik Spoelstra,82,44,38,5,1,4,1,10,0
2018,MIL,Jason Kidd,45,23,22,0,0,0,1,4,0
2018,MIL,Joe Prunty,37,21,16,7,3,4,2,1,1
2018,MIN,Tom Thibodeau,82,47,35,5,1,4,1,2,0
2018,NOP,Alvin Gentry,82,48,34,9,5,4,1,3,0
2018,NYK,Jeff Hornacek,82,29,53,0,0,0,1,2,0
2018,OKC,Billy Donovan,82,48,34,6,2,4,1,3,0
2018,ORL,Frank Vogel,82,25,57,0,0,0,1,2,0
2018,PHI,Brett Brown,82,52,30,10,5,5,1,5,0
2018,PHO,Earl Watson,3,0,3,0,0,0,1,3,0
2018,PHO,Jay Triano,79,21,58,0,0,0,2,1,1
2018,POR,Terry Stotts,82,49,33,4,0,4,1,6,0
2018,SAC,Dave Joerger,82,27,55,0,0,0,1,2,0
2018,SAS,Gregg Popovich,82,47,35,5,1,4,1,22,0
2018,TOR,Dwane Casey,82,59,23,10,4,6,1,7,0
2018,UTA,Quin Snyder,82,48,34,11,5,6,1,4,0
2018,WAS,Scott Brooks,82,43,39,6,2,4,1,2,0
2019,ATL,Lloyd Pierce,82,29,53,0,0,0,1,1,1
2019,BOS,Brad Stevens,82,49,33,9,5,4,1,6,0
2019,BRK,Kenny Atkinson,82,42,40,5,1,4,1,3,0
2019,CHI,Fred Hoiberg,24,5,19,0,0,0,1,4,0
2019,CHI,Jim Boylen,58,17,41,0,0,0,2,1,1
2019,CHO,James Borrego,82,39,43,0,0,0,1,1,1
2019,CLE,Tyronn Lue,6,0,6,0,0,0,1,4,0
2019,CLE,Larry Drew,76,19,57,0,0,0,2,1,1
2019,DAL,Rick Carlisle,82,33,49,0,0,0,1,11,0
2019,DEN,Mike Malone,82,54,28,14,7,7,1,4,0
2019,DET,Dwane Casey,82,41,41,4,0,4,1,1,1
2019,GSW,Steve Kerr,82,57,25,22,14,8,1,5,0
2019,HOU,Mike D'Antoni,82,53,29,11,6,5,1,3,0
2019,IND,Nate McMillan,82,48,34,4,0,4,1,3,0
2019,LAC,Doc Rivers,82,48,34,6,2,4,1,6,0
2019,LAL,Luke Walton,82,37,45,0,0,0,1,3,0
2019,MEM,J.B. Bickerstaff,82,33,49,0,0,0,1,2,0
2019,MIA,Erik Spoelstra,82,39,43,0,0,0,1,11,0
2019,MIL,Mike Budenholzer,82,60,22,15,10,5,1,1,1
2019,MIN,Tom Thibodeau,40,19,21,0,0,0,1,3,0
2019,MIN,Ryan Saunders,42,17,25,0,0,0,2,1,1
2019,NOP,Alvin Gentry,82,33,49,0,0,0,1,4,0
2019,NYK,David Fizdale,82,17,65,0,0,0,1,1,1
2019,OKC,Billy Donovan,82,49,33,5,1,4,1,4,0
2019,ORL,Steve Clifford,82,42,40,5,1,4,1,1,1
2019,PHI,Brett Brown,82,51,31,12,7,5,1,6,0
2019,PHO,Igor Kokoskov,82,19,63,0,0,0,1,1,1
2019,POR,Terry Stotts,82,53,29,16,8,8,1,7,0
2019,SAC,Dave Joerger,82,39,43,0,0,0,1,3,0
2019,SAS,Gregg Popovich,82,48,34,7,3,4,1,23,0
2019,TOR,Nick Nurse,82,58,24,24,16,8,1,1,1
2019,UTA,Quin Snyder,82,50,32,5,1,4,1,5,0
2019,WAS,Scott Brooks,82,32,50,0,0,0,1,3,0
2020,ATL,Lloyd Pierce,67,20,47,0,0,0,1,2,0
2020,BOS,Brad Stevens,72,48,24,1,1,0,1,7,0
2020,BRK,Kenny Atkinson,62,28,34,0,0,0,1,4,0
2020,BRK,Jacque Vaughn,10,7,3,1,0,1,2,1,1
2020,CHI,Jim Boylen,65,22,43,0,0,0,1,2,0
2020,CHO,James Borrego,65,23,42,0,0,0,1,2,0
2020,CLE,John Beilein,54,14,40,0,0,0,1,1,1
2020,CLE,J.B. Bickerstaff,11,5,6,0,0,0,2,1,1
2020,DAL,Rick Carlisle,75,43,32,1,0,1,1,12,0
2020,DEN,Mike Malone,73,46,27,1,1,0,1,5,0
2020,DET,Dwane Casey,66,20,46,0,0,0,1,2,0
2020,GSW,Steve Kerr,65,15,50,0,0,0,1,6,0
2020,HOU,Mike D'Antoni,72,44,28,1,1,0,1,4,0
2020,IND,Nate McMillan,73,45,28,1,0,1,1,4,0
2020,LAC,Doc Rivers,72,49,23,1,1,0,1,7,0
2020,LAL,Frank Vogel,71,52,19,1,0,1,1,1,1
2020,MEM,Taylor Jenkins,74,34,40,0,0,0,1,1,1
2020,MIA,Erik Spoelstra,73,44,29,1,1,0,1,12,0
2020,MIL,Mike Budenholzer,73,56,17,1,0,1,1,2,0
2020,MIN,Ryan Saunders,64,19,45,0,0,0,1,2,0
2020,NOP,Alvin Gentry,72,30,42,0,0,0,1,5,0
2020,NYK,David Fizdale,22,4,18,0,0,0,1,2,0
2020,NYK,Mike Miller,44,17,27,0,0,0,2,1,1
2020,NYK,Tom Thibodeau,0,0,0,0,0,0,3,1,1
2020,OKC,Billy Donovan,72,44,28,1,0,1,1,5,0
2020,ORL,Steve Clifford,73,33,40,1,1,0,1,2,0
2020,PHI,Brett Brown,73,43,30,1,0,1,1,7,0
2020,PHO,Monty Williams,73,34,39,0,0,0,1,1,1
2020,POR,Terry Stotts,75,36,39,1,1,0,1,8,0
2020,SAC,Luke Walton,72,31,41,0,0,0,1,1,1
2020,SAS,Gregg Popovich,71,32,39,0,0,0,1,24,0
2020,TOR,Nick Nurse,72,53,19,1,1,0,1,2,0
2020,UTA,Quin Snyder,72,44,28,1,0,1,1,6,0
2020,WAS,Scott Brooks,72,25,47,0,0,0,1,4,0
