team_abbrv,coach_name,start_season,end_season,games_coached,games_W,games_L,playoff_games,playoff_games_W,playoff_games_L,seasons_coach
ATL,Bob Weiss,1991,1993,246,124,122,8,2,6,6
ATL,Cotton Fitzsimmons,1973,1976,320,140,180,6,2,4,10
ATL,Gene Tormohlen,1976,1976,8,1,7,0,0,0,1
ATL,Hubie Brown,1977,1981,407,199,208,16,6,10,15
ATL,Kevin Loughery,1982,1983,164,85,79,5,1,4,3
ATL,Larry Drew,2011,2013,230,128,102,24,10,14,6
ATL,Lenny Wilkens,1994,2000,542,310,232,47,17,30,28
ATL,Lloyd Pierce,2019,2020,149,49,100,0,0,0,3
ATL,Lon Kruger,2001,2003,191,69,122,0,0,0,6
ATL,Mike Budenholzer,2014,2018,410,213,197,39,17,22,15
ATL,Mike Fratello,1981,1990,577,324,253,40,18,22,36
ATL,Mike Woodson,2005,2010,492,206,286,29,11,18,21
ATL,Richie Guerin,1969,1972,328,168,160,31,12,19,26
ATL,Terry Stotts,2003,2004,137,52,85,0,0,0,3
BAL,Buddy Jeannette,1965,1967,96,40,56,10,5,5,3
BAL,Gene Shue,1967,1973,548,291,257,40,14,26,28
BAL,Mike Farmer,1967,1967,9,1,8,0,0,0,1
BAL,Paul Seymour,1966,1966,80,38,42,3,0,3,1
BAL,Slick Leonard,1964,1964,80,31,49,0,0,0,2
BOS,Bill Fitch,1980,1983,328,242,86,45,26,19,10
BOS,Bill Russell,1967,1969,245,162,83,46,28,18,6
BOS,Brad Stevens,2014,2020,564,318,246,57,28,29,28
BOS,Chris Ford,1991,1995,410,222,188,29,13,16,15
BOS,Dave Cowens,1979,1979,68,27,41,0,0,0,1
BOS,Doc Rivers,2005,2013,721,416,305,106,59,47,45
BOS,Jim O'Brien,2001,2004,258,139,119,26,13,13,10
BOS,Jimmy Rodgers,1989,1990,164,94,70,8,2,6,3
BOS,John Carroll,2004,2004,36,14,22,4,0,4,1
BOS,K.C. Jones,1984,1988,410,308,102,102,65,37,15
BOS,M.L. Carr,1996,1997,164,48,116,0,0,0,3
BOS,Red Auerbach,1960,1966,554,409,145,89,59,30,91
BOS,Rick Pitino,1998,2001,248,102,146,0,0,0,10
BOS,Tom Heinsohn,1970,1978,690,427,263,80,47,33,45
BOS,Tom Sanders,1978,1979,62,23,39,0,0,0,3
BRK,Avery Johnson,2013,2013,28,14,14,0,0,0,3
BRK,Jacque Vaughn,2020,2020,10,7,3,1,0,1,1
BRK,Jason Kidd,2014,2014,82,44,38,12,5,7,1
BRK,Kenny Atkinson,2017,2020,308,118,190,5,1,4,10
BRK,Lionel Hollins,2015,2016,119,48,71,6,2,4,3
BRK,P.J. Carlesimo,2013,2013,54,35,19,7,3,4,1
BRK,Tony Brown,2016,2016,45,11,34,0,0,0,1
BUF,Bob MacKinnon,1977,1977,7,3,4,0,0,0,1
BUF,Cotton Fitzsimmons,1978,1978,82,27,55,0,0,0,1
BUF,Dolph Schayes,1971,1972,83,22,61,0,0,0,3
BUF,Jack Ramsay,1973,1976,328,158,170,22,9,13,10
BUF,Joe Mullaney,1977,1977,29,11,18,0,0,0,1
BUF,Johnny McCarthy,1972,1972,81,22,59,0,0,0,1
BUF,Tates Locke,1977,1977,46,16,30,0,0,0,1
CAP,K.C. Jones,1974,1974,82,47,35,7,3,4,1
CHA,Bernie Bickerstaff,2005,2007,246,77,169,0,0,0,6
CHA,Larry Brown,2009,2011,192,88,104,4,0,4,6
CHA,Mike Dunlap,2013,2013,82,21,61,0,0,0,1
CHA,Paul Silas,2011,2012,120,32,88,0,0,0,11
CHA,Sam Vincent,2008,2008,82,32,50,0,0,0,1
CHA,Steve Clifford,2014,2014,82,43,39,4,0,4,1
CHH,Allan Bristow,1992,1996,410,207,203,13,5,8,15
CHH,Dave Cowens,1997,1999,179,109,70,12,4,8,6
CHH,Dick Harter,1989,1990,122,28,94,0,0,0,3
CHH,Gene Littles,1990,1991,124,37,87,0,0,0,3
CHH,Paul Silas,1999,2002,281,161,120,23,11,12,10
CHI,Bill Berry,2002,2002,2,0,2,0,0,0,1
CHI,Bill Cartwright,2002,2004,151,51,100,0,0,0,6
CHI,Dick Motta,1969,1976,656,356,300,47,18,29,36
CHI,Doug Collins,1987,1989,246,137,109,30,13,17,6
CHI,Ed Badger,1977,1978,164,84,80,3,1,2,3
CHI,Fred Hoiberg,2016,2019,270,115,155,6,2,4,10
CHI,Jerry Sloan,1980,1982,215,94,121,6,2,4,6
CHI,Jim Boylan,2008,2008,56,24,32,0,0,0,1
CHI,Jim Boylen,2019,2020,123,39,84,0,0,0,3
CHI,Kevin Loughery,1984,1985,164,65,99,4,1,3,3
CHI,Larry Costello,1979,1979,56,20,36,0,0,0,1
CHI,Paul Westhead,1983,1983,82,28,54,0,0,0,1
CHI,Pete Myers,2004,2008,3,0,3,0,0,0,3
CHI,Phil Jackson,1990,1998,738,545,193,152,111,41,45
CHI,Phil Johnson,1982,1982,1,0,1,0,0,0,1
CHI,Red Kerr,1967,1968,163,62,101,8,1,7,3
CHI,Rod Thorn,1982,1982,30,15,15,0,0,0,1
CHI,Scott Skiles,2004,2008,337,165,172,22,10,12,15
CHI,Scotty Robertson,1979,1979,26,11,15,0,0,0,1
CHI,Stan Albeck,1986,1986,82,30,52,3,0,3,1
CHI,Tim Floyd,1999,2002,239,49,190,0,0,0,10
CHI,Tom Thibodeau,2011,2015,394,255,139,51,23,28,15
CHI,Vinny Del Negro,2009,2010,164,82,82,12,4,8,3
CHO,James Borrego,2019,2020,147,62,85,0,0,0,3
CHO,Steve Clifford,2015,2018,328,153,175,7,3,4,14
CHP,Jim Pollard,1962,1962,80,18,62,0,0,0,1
CHZ,Jack McMahon,1963,1963,38,12,26,0,0,0,1
CHZ,Slick Leonard,1963,1963,42,13,29,0,0,0,1
CIN,Bob Cousy,1970,1972,246,99,147,0,0,0,6
CIN,Charles Wolf,1961,1963,239,118,121,16,7,9,6
CIN,Ed Jucker,1968,1969,164,80,84,0,0,0,3
CIN,Jack McMahon,1964,1967,321,187,134,23,8,15,10
CIN,Tom Marshall,1960,1960,75,19,56,0,0,0,2
CLE,Bill Fitch,1971,1979,738,304,434,18,7,11,45
CLE,Bill Musselman,1981,1982,94,27,67,0,0,0,3
CLE,Bob Kloppenburg,1982,1982,3,0,3,0,0,0,1
CLE,Brendan Malone,2005,2005,18,8,10,0,0,0,1
CLE,Byron Scott,2011,2013,230,64,166,0,0,0,6
CLE,Chuck Daly,1982,1982,41,9,32,0,0,0,1
CLE,David Blatt,2015,2016,123,83,40,20,14,6,3
CLE,Don Delaney,1981,1982,26,7,19,0,0,0,3
CLE,Gene Littles,1986,1986,15,4,11,0,0,0,1
CLE,George Karl,1985,1986,149,61,88,4,1,3,3
CLE,J.B. Bickerstaff,2020,2020,11,5,6,0,0,0,1
CLE,John Beilein,2020,2020,54,14,40,0,0,0,1
CLE,John Lucas,2002,2003,124,37,87,0,0,0,3
CLE,Keith Smart,2003,2003,40,9,31,0,0,0,1
CLE,Larry Drew,2019,2019,76,19,57,0,0,0,1
CLE,Lenny Wilkens,1987,1993,574,316,258,41,18,23,28
CLE,Mike Brown,2006,2014,492,305,187,71,42,29,21
CLE,Mike Fratello,1994,1999,460,248,212,14,2,12,21
CLE,Paul Silas,2004,2005,146,69,77,0,0,0,3
CLE,Randy Wittman,2000,2001,164,62,102,0,0,0,3
CLE,Stan Albeck,1980,1980,82,37,45,0,0,0,1
CLE,Tom Nissalke,1983,1984,164,51,113,0,0,0,3
CLE,Tyronn Lue,2016,2019,211,128,83,61,41,20,10
DAL,Avery Johnson,2005,2008,264,194,70,47,23,24,10
DAL,Dick Motta,1981,1996,738,329,409,28,11,17,45
DAL,Don Nelson,1998,2005,590,339,251,43,19,24,36
DAL,Gar Heard,1993,1993,53,9,44,0,0,0,1
DAL,Jim Cleamons,1997,1998,98,28,70,0,0,0,3
DAL,John MacLeod,1988,1990,175,96,79,17,10,7,6
DAL,Quinn Buckner,1994,1994,82,13,69,0,0,0,1
DAL,Richie Adubato,1990,1993,264,94,170,3,0,3,10
DAL,Rick Carlisle,2009,2020,961,513,448,59,28,31,78
DEN,Bernie Bickerstaff,1995,1997,127,59,68,3,0,3,6
DEN,Bill Hanzlik,1998,1998,82,11,71,0,0,0,1
DEN,Brian Shaw,2014,2015,141,56,85,0,0,0,3
DEN,Dan Issel,1993,2002,388,180,208,12,6,6,21
DEN,Dick Motta,1997,1997,69,17,52,0,0,0,1
DEN,Donnie Walsh,1979,1981,142,60,82,3,1,2,6
DEN,Doug Moe,1981,1990,789,432,357,61,24,37,55
DEN,Gene Littles,1995,1995,16,3,13,0,0,0,1
DEN,George Karl,2005,2013,680,423,257,59,21,38,45
DEN,Jeff Bzdelik,2003,2005,192,73,119,5,1,4,6
DEN,Larry Brown,1977,1979,217,126,91,19,8,11,12
DEN,Melvin Hunt,2015,2015,23,10,13,0,0,0,1
DEN,Michael Cooper,2005,2005,14,4,10,0,0,0,1
DEN,Mike D'Antoni,1999,1999,50,14,36,0,0,0,1
DEN,Mike Evans,2002,2002,56,18,38,0,0,0,1
DEN,Mike Malone,2016,2020,401,219,182,15,8,7,15
DEN,Paul Westhead,1991,1992,164,44,120,0,0,0,3
DET,Alvin Gentry,1998,2000,145,73,72,5,2,3,6
DET,Bob Kauffman,1978,1978,58,29,29,0,0,0,1
DET,Butch van Breda Kolff,1970,1972,174,82,92,0,0,0,6
DET,Charles Wolf,1964,1965,91,25,66,0,0,0,3
DET,Chuck Daly,1984,1992,738,467,271,113,71,42,45
DET,Dave DeBusschere,1965,1967,222,79,143,0,0,0,6
DET,Dick McGuire,1960,1963,280,122,158,21,8,13,10
DET,Dick Vitale,1979,1980,94,34,60,0,0,0,3
DET,Don Chaney,1994,1995,164,48,116,0,0,0,3
DET,Donnie Butcher,1967,1969,112,52,60,6,2,4,6
DET,Doug Collins,1996,1998,209,121,88,8,2,6,6
DET,Dwane Casey,2019,2020,148,61,87,4,0,4,3
DET,Earl Lloyd,1972,1973,77,22,55,0,0,0,3
DET,Flip Saunders,2006,2008,246,176,70,51,30,21,6
DET,George Irvine,2000,2001,106,46,60,3,0,3,3
DET,Herb Brown,1976,1978,146,72,74,12,5,7,6
DET,John Kuester,2010,2011,164,57,107,0,0,0,3
DET,John Loyer,2014,2014,32,8,24,0,0,0,1
DET,Larry Brown,2004,2005,164,108,56,48,31,17,3
DET,Lawrence Frank,2012,2013,148,54,94,0,0,0,3
DET,Maurice Cheeks,2014,2014,50,21,29,0,0,0,1
DET,Michael Curry,2009,2009,82,39,43,4,0,4,1
DET,Paul Seymour,1969,1969,60,22,38,0,0,0,1
DET,Ray Scott,1973,1976,281,147,134,10,4,6,10
DET,Red Rocha,1960,1960,34,13,21,0,0,0,3
DET,Richie Adubato,1980,1980,70,12,58,0,0,0,1
DET,Rick Carlisle,2002,2003,164,100,64,27,12,15,3
DET,Ron Rothstein,1993,1993,82,40,42,0,0,0,1
DET,Scotty Robertson,1981,1983,246,97,149,0,0,0,6
DET,Stan Van Gundy,2015,2018,328,152,176,4,0,4,10
DET,Terry Dischinger,1972,1972,2,0,2,0,0,0,1
GSW,Al Attles,1972,1983,963,508,455,56,30,26,102
GSW,Bob Lanier,1995,1995,37,12,25,0,0,0,1
GSW,Brian Winters,2002,2002,59,13,46,0,0,0,1
GSW,Dave Cowens,2001,2002,105,25,80,0,0,0,3
GSW,Don Nelson,1989,2010,865,422,443,35,14,21,66
GSW,Ed Gregory,1988,1988,18,4,14,0,0,0,1
GSW,Eric Musselman,2003,2004,164,75,89,0,0,0,3
GSW,Garry St. Jean,2000,2000,55,13,42,0,0,0,1
GSW,George Karl,1987,1988,146,58,88,10,4,6,3
GSW,Johnny Bach,1980,1986,267,95,172,0,0,0,10
GSW,Keith Smart,2011,2011,82,36,46,0,0,0,1
GSW,Mark Jackson,2012,2014,230,121,109,19,9,10,6
GSW,Mike Montgomery,2005,2006,164,68,96,0,0,0,3
GSW,P.J. Carlesimo,1998,2000,159,46,113,0,0,0,6
GSW,Rick Adelman,1996,1997,164,66,98,0,0,0,3
GSW,Steve Kerr,2015,2020,475,337,138,105,77,28,21
HOU,Bill Fitch,1984,1988,410,216,194,39,21,18,15
HOU,Del Harris,1980,1983,328,141,187,31,15,16,10
HOU,Don Chaney,1989,1992,298,164,134,11,2,9,10
HOU,J.B. Bickerstaff,2016,2016,71,37,34,5,1,4,1
HOU,Jeff Van Gundy,2004,2007,328,182,146,19,7,12,10
HOU,Johnny Egan,1973,1976,281,129,152,8,3,5,10
HOU,Kevin McHale,2012,2016,323,193,130,29,13,16,15
HOU,Mike D'Antoni,2017,2020,318,217,101,40,24,16,10
HOU,Rick Adelman,2008,2011,328,193,135,19,9,10,10
HOU,Rudy Tomjanovich,1992,2003,900,503,397,90,51,39,78
HOU,Tex Winter,1972,1973,129,51,78,0,0,0,3
HOU,Tom Nissalke,1977,1979,246,124,122,14,6,8,6
IND,Bob Hill,1991,1993,221,113,108,12,3,9,6
IND,Dick Versace,1989,1991,160,73,87,3,0,3,6
IND,Frank Vogel,2011,2016,431,250,181,61,31,30,21
IND,George Irvine,1985,1989,184,54,130,0,0,0,6
IND,Isiah Thomas,2001,2003,246,131,115,15,5,10,6
IND,Jack McKinney,1981,1984,328,125,203,2,0,2,10
IND,Jack Ramsay,1987,1989,171,79,92,4,1,3,6
IND,Jim O'Brien,2008,2011,290,121,169,0,0,0,10
IND,Larry Bird,1998,2000,214,147,67,52,32,20,6
IND,Larry Brown,1994,1997,328,190,138,38,22,16,10
IND,Mel Daniels,1989,1989,2,0,2,0,0,0,1
IND,Nate McMillan,2017,2020,319,183,136,16,3,13,10
IND,Rick Carlisle,2004,2007,328,181,147,35,18,17,10
IND,Slick Leonard,1977,1980,328,142,186,0,0,0,42
KCK,Cotton Fitzsimmons,1979,1984,492,248,244,26,9,17,21
KCK,Jack McKinney,1985,1985,9,1,8,0,0,0,1
KCK,Larry Staverman,1978,1978,45,18,27,0,0,0,1
KCK,Phil Johnson,1976,1985,274,114,160,0,0,0,18
KCO,Bob Cousy,1973,1974,102,42,60,0,0,0,9
KCO,Draff Young,1974,1974,4,0,4,0,0,0,1
KCO,Phil Johnson,1974,1975,140,71,69,6,2,4,3
LAC,Alvin Gentry,2001,2003,222,89,133,0,0,0,6
LAC,Bill Fitch,1995,1998,328,99,229,3,0,3,10
LAC,Bob Weiss,1994,1994,82,27,55,0,0,0,1
LAC,Chris Ford,1999,2000,95,20,75,0,0,0,3
LAC,Dennis Johnson,2003,2003,24,8,16,0,0,0,1
LAC,Doc Rivers,2014,2020,564,356,208,47,21,26,28
LAC,Don Casey,1989,1990,126,41,85,0,0,0,3
LAC,Don Chaney,1985,1987,185,53,132,0,0,0,6
LAC,Gene Shue,1988,1989,120,27,93,0,0,0,7
LAC,Jim Lynam,1985,1985,61,22,39,0,0,0,2
LAC,Jim Todd,2000,2000,37,4,33,0,0,0,1
LAC,Kim Hughes,2010,2010,33,8,25,0,0,0,1
LAC,Larry Brown,1992,1993,117,64,53,10,4,6,3
LAC,Mack Calvin,1992,1992,2,1,1,0,0,0,1
LAC,Mike Dunleavy,2004,2010,541,215,326,12,7,5,28
LAC,Mike Schuler,1991,1992,127,52,75,0,0,0,3
LAC,Vinny Del Negro,2011,2013,230,128,102,17,6,11,6
LAL,Bernie Bickerstaff,2013,2013,5,4,1,0,0,0,1
LAL,Bill Bertka,1994,1999,3,2,1,0,0,0,3
LAL,Bill Sharman,1972,1976,410,246,164,37,22,15,15
LAL,Butch van Breda Kolff,1968,1969,164,107,57,33,21,12,3
LAL,Byron Scott,2015,2016,164,38,126,0,0,0,3
LAL,Del Harris,1995,1999,340,224,116,36,17,19,15
LAL,Frank Hamblen,2005,2005,39,10,29,0,0,0,1
LAL,Frank Vogel,2020,2020,71,52,19,1,0,1,1
LAL,Fred Schaus,1961,1967,560,315,245,71,33,38,28
LAL,Jack McKinney,1980,1980,14,10,4,0,0,0,1
LAL,Jerry West,1977,1979,246,145,101,22,8,14,6
LAL,Joe Mullaney,1970,1971,164,94,70,30,16,14,3
LAL,Kurt Rambis,1999,1999,37,24,13,8,3,5,1
LAL,Luke Walton,2017,2019,246,98,148,0,0,0,6
LAL,Magic Johnson,1994,1994,16,5,11,0,0,0,1
LAL,Mike Brown,2012,2013,71,42,29,12,5,7,3
LAL,Mike D'Antoni,2013,2014,154,67,87,4,0,4,3
LAL,Mike Dunleavy,1991,1992,164,101,63,23,13,10,3
LAL,Pat Riley,1982,1990,727,533,194,149,102,47,45
LAL,Paul Westhead,1980,1982,161,111,50,19,13,6,6
LAL,Phil Jackson,2000,2011,902,610,292,181,118,63,66
LAL,Randy Pfund,1993,1994,146,66,80,5,2,3,3
LAL,Rudy Tomjanovich,2005,2005,43,24,19,0,0,0,1
MEM,Dave Joerger,2014,2016,246,147,99,22,9,13,6
MEM,David Fizdale,2017,2018,101,50,51,6,2,4,3
MEM,Hubie Brown,2003,2005,168,83,85,4,0,4,6
MEM,J.B. Bickerstaff,2018,2019,145,48,97,0,0,0,3
MEM,Johnny Davis,2009,2009,2,0,2,0,0,0,1
MEM,Lionel Hollins,2005,2013,355,196,159,35,18,17,27
MEM,Marc Iavaroni,2008,2009,123,33,90,0,0,0,3
